Data,Fechamento
16/08/2024,4.21
15/08/2024,4.24
14/08/2024,4.16
13/08/2024,4.11
12/08/2024,4.11
09/08/2024,4.11
08/08/2024,4.02
07/08/2024,4.0
06/08/2024,3.97
05/08/2024,3.94
02/08/2024,3.95
01/08/2024,3.94
31/07/2024,3.99
30/07/2024,3.91
29/07/2024,3.92
26/07/2024,3.91
25/07/2024,3.87
24/07/2024,3.9
23/07/2024,3.97
22/07/2024,4.02
19/07/2024,3.93
18/07/2024,4.01
17/07/2024,4.14
16/07/2024,4.14
15/07/2024,4.13
12/07/2024,4.22
11/07/2024,4.2
10/07/2024,4.16
09/07/2024,4.16
08/07/2024,4.11
05/07/2024,4.17
04/07/2024,4.09
03/07/2024,3.96
02/07/2024,3.88
01/07/2024,3.87
28/06/2024,3.84
27/06/2024,3.87
26/06/2024,3.82
25/06/2024,3.88
24/06/2024,3.83
21/06/2024,3.74
20/06/2024,3.69
19/06/2024,3.69
18/06/2024,3.66
17/06/2024,3.63
14/06/2024,3.64
13/06/2024,3.69
12/06/2024,3.69
11/06/2024,3.74
10/06/2024,3.73
07/06/2024,3.76
06/06/2024,3.85
05/06/2024,3.74
04/06/2024,4.03
03/06/2024,4.01
31/05/2024,3.88
29/05/2024,3.91
28/05/2024,3.93
27/05/2024,3.94
24/05/2024,3.91
23/05/2024,3.92
22/05/2024,3.95
21/05/2024,4.01
20/05/2024,4.0
17/05/2024,3.99
16/05/2024,4.04
15/05/2024,4.02
14/05/2024,4.05
13/05/2024,4.06
10/05/2024,4.05
09/05/2024,4.05
08/05/2024,4.12
07/05/2024,4.06
06/05/2024,4.11
03/05/2024,4.2
02/05/2024,4.16
30/04/2024,4.15
29/04/2024,4.24
26/04/2024,4.15
25/04/2024,4.04
24/04/2024,4.0
23/04/2024,3.97
22/04/2024,4.02
19/04/2024,4.1
18/04/2024,3.96
17/04/2024,3.92
16/04/2024,3.94
15/04/2024,3.91
12/04/2024,4.02
11/04/2024,4.38
10/04/2024,4.48
09/04/2024,4.59
08/04/2024,4.58
05/04/2024,4.49
04/04/2024,4.55
03/04/2024,4.53
02/04/2024,4.51
01/04/2024,4.41
28/03/2024,4.64
27/03/2024,4.26
26/03/2024,4.09
25/03/2024,4.0
22/03/2024,4.02
21/03/2024,4.06
20/03/2024,4.13
19/03/2024,4.05
18/03/2024,4.05
15/03/2024,4.09
14/03/2024,4.18
13/03/2024,4.14
12/03/2024,4.12
11/03/2024,4.08
08/03/2024,4.13
07/03/2024,4.08
06/03/2024,4.09
05/03/2024,4.14
04/03/2024,4.14
01/03/2024,4.21
29/02/2024,4.22
28/02/2024,4.24
27/02/2024,4.21
26/02/2024,4.05
23/02/2024,4.12
22/02/2024,4.25
21/02/2024,4.09
20/02/2024,4.11
19/02/2024,4.02
16/02/2024,4.02
15/02/2024,4.0
14/02/2024,4.04
09/02/2024,4.07
08/02/2024,4.16
07/02/2024,4.48
06/02/2024,4.4
05/02/2024,4.37
02/02/2024,4.36
01/02/2024,4.34
31/01/2024,4.45
30/01/2024,4.44
29/01/2024,4.52
26/01/2024,4.57
25/01/2024,4.57
24/01/2024,4.53
23/01/2024,4.63
22/01/2024,4.56
19/01/2024,4.68
18/01/2024,4.56
17/01/2024,4.7
16/01/2024,4.72
15/01/2024,4.83
12/01/2024,4.83
11/01/2024,4.74
10/01/2024,4.82
09/01/2024,4.81
08/01/2024,4.84
05/01/2024,4.77
04/01/2024,4.75
03/01/2024,4.95
02/01/2024,5.03
28/12/2023,5.23
27/12/2023,5.25
26/12/2023,5.1
22/12/2023,4.97
21/12/2023,4.74
20/12/2023,4.63
19/12/2023,4.59
18/12/2023,4.51
15/12/2023,4.54
14/12/2023,4.58
13/12/2023,4.55
12/12/2023,4.4
11/12/2023,4.38
08/12/2023,4.41
07/12/2023,4.44
06/12/2023,4.28
05/12/2023,4.34
04/12/2023,4.26
01/12/2023,4.26
30/11/2023,4.08
29/11/2023,4.07
28/11/2023,4.09
27/11/2023,4.04
24/11/2023,4.05
23/11/2023,4.05
22/11/2023,4.04
21/11/2023,4.05
20/11/2023,4.13
17/11/2023,4.11
16/11/2023,4.11
14/11/2023,4.44
13/11/2023,4.2
10/11/2023,4.34
09/11/2023,4.22
08/11/2023,4.34
07/11/2023,4.34
06/11/2023,4.17
03/11/2023,4.14
01/11/2023,3.97
31/10/2023,4.01
30/10/2023,3.83
